sample_id,cell_id,group,replicate,rpt_index,SOH_pct
sample_0069,G5C3,G5,C3,29,54.420494289016005
sample_0070,G13C3,G13,C3,9,91.45342734979722
sample_0071,G13C3,G13,C3,17,71.921144009591
sample_0072,G13C3,G13,C3,4,96.79436674977757
sample_0073,G6C3,G6,C3,33,51.50776188633055
sample_0074,G3C3,G3,C3,18,77.16472612914629
sample_0075,G6C3,G6,C3,19,68.8568956171213
sample_0076,G6C3,G6,C3,0,100.0
sample_0077,G15C3,G15,C3,18,78.77098273697574
sample_0078,G7C3,G7,C3,29,61.6803749820503
sample_0079,G13C3,G13,C3,2,98.15232797253788
sample_0080,G8C3,G8,C3,27,61.64258165895606
sample_0081,G5C3,G5,C3,17,71.55431547190486
sample_0082,G7C3,G7,C3,18,71.50483149341255
sample_0083,G8C3,G8,C3,12,75.19302633325262
sample_0084,G15C3,G15,C3,14,83.50315509961455
sample_0085,G6C3,G6,C3,22,66.08680458928264
sample_0086,G15C3,G15,C3,12,89.55453019682167
sample_0087,G8C3,G8,C3,18,70.17984654662683
sample_0088,G8C3,G8,C3,31,56.644774090000894
sample_0089,G3C3,G3,C3,13,77.03714956807399
sample_0090,G6C3,G6,C3,23,65.13128195877572
sample_0091,G7C3,G7,C3,6,91.99766427071894
sample_0092,G13C3,G13,C3,1,98.84288654575984
sample_0093,G8C3,G8,C3,25,63.713586184380134
sample_0094,G6C3,G6,C3,25,62.93202417740025
sample_0095,G7C3,G7,C3,3,96.66851839361388
sample_0096,G13C3,G13,C3,7,94.62371225755084
sample_0097,G15C3,G15,C3,24,69.23181832876236
sample_0098,G15C3,G15,C3,25,67.10891155124737
sample_0099,G3C3,G3,C3,34,67.59051948852783
sample_0100,G6C3,G6,C3,31,55.326022567507415
sample_0101,G13C3,G13,C3,5,96.23290102873774
sample_0102,G7C3,G7,C3,20,69.96052624294752
sample_0103,G15C3,G15,C3,26,64.59285206278031
sample_0104,G8C3,G8,C3,29,59.44003687092185
sample_0105,G7C3,G7,C3,31,59.26684266546083
sample_0106,G7C3,G7,C3,30,60.53986257451939
sample_0107,G7C3,G7,C3,34,54.17149793412111
sample_0108,G8C3,G8,C3,28,60.587481918743734
sample_0109,G8C3,G8,C3,24,64.73997991811542
sample_0110,G3C3,G3,C3,43,57.77516298833443
sample_0111,G3C3,G3,C3,22,75.46339699641797
sample_0112,G5C3,G5,C3,24,61.71578646965651
sample_0113,G8C3,G8,C3,32,55.17811332208442
sample_0114,G7C3,G7,C3,2,97.6730604911398
sample_0115,G8C3,G8,C3,13,74.64159772502349
sample_0116,G6C3,G6,C3,1,99.22600955964552
sample_0117,G15C3,G15,C3,3,97.21159596765044
sample_0118,G5C3,G5,C3,5,95.68876874284445
sample_0119,G6C3,G6,C3,10,74.54080434816134
sample_0120,G5C3,G5,C3,0,100.0
sample_0121,G3C3,G3,C3,4,96.22135021049748
sample_0122,G13C3,G13,C3,6,95.54516440592008
sample_0123,G3C3,G3,C3,44,56.54900861609873
sample_0124,G3C3,G3,C3,29,71.16909864508074
sample_0125,G6C3,G6,C3,11,75.07469889292696
sample_0126,G15C3,G15,C3,6,95.68085406350924
sample_0127,G3C3,G3,C3,33,68.4542595592729
sample_0128,G6C3,G6,C3,26,61.980359714969424
sample_0129,G7C3,G7,C3,15,74.34915865051907
sample_0130,G8C3,G8,C3,20,68.31495853981265
sample_0131,G13C3,G13,C3,19,66.97093095233542
sample_0132,G8C3,G8,C3,9,75.31450325336581
sample_0133,G7C3,G7,C3,24,66.70671209780983
sample_0134,G15C3,G15,C3,20,76.50035044190231
sample_0135,G7C3,G7,C3,28,62.83429235616365
sample_0136,G13C3,G13,C3,24,48.01265280633866
sample_0137,G6C3,G6,C3,20,67.91940609819466
sample_0138,G7C3,G7,C3,9,78.98707937468778
sample_0139,G6C3,G6,C3,34,49.238088288482864
sample_0140,G7C3,G7,C3,25,65.78843516871204
sample_0141,G5C3,G5,C3,26,58.88718961817096
sample_0142,G5C3,G5,C3,14,74.50211349148277
sample_0143,G15C3,G15,C3,23,71.44871133465138
sample_0144,G7C3,G7,C3,17,72.35412905169756
sample_0145,G3C3,G3,C3,45,55.34130289763275
sample_0146,G7C3,G7,C3,14,75.85293830879577
sample_0147,G3C3,G3,C3,50,48.400477613279
sample_0148,G8C3,G8,C3,19,69.2900331468691
sample_0149,G6C3,G6,C3,32,53.40592392531059
sample_0150,G3C3,G3,C3,30,70.48269773021586
sample_0151,G3C3,G3,C3,47,52.59496487972779
sample_0152,G8C3,G8,C3,30,58.21495232372471
sample_0153,G7C3,G7,C3,13,77.11549635602941
sample_0154,G5C3,G5,C3,9,88.07298296208133
sample_0155,G6C3,G6,C3,12,74.7545219316179
sample_0156,G6C3,G6,C3,30,57.15823316071118
sample_0157,G5C3,G5,C3,23,63.215462520295354
sample_0158,G6C3,G6,C3,8,83.35435591141615
sample_0159,G8C3,G8,C3,26,62.69581657276245
sample_0160,G15C3,G15,C3,27,61.58513560597476
sample_0161,G13C3,G13,C3,0,100.0
sample_0162,G3C3,G3,C3,40,61.29965188046219
sample_0163,G15C3,G15,C3,1,98.63105404662689
sample_0164,G3C3,G3,C3,15,77.70795517610591
sample_0165,G8C3,G8,C3,23,65.78885237014937
sample_0166,G6C3,G6,C3,7,89.89739539095646
sample_0167,G5C3,G5,C3,3,97.0734899199631
sample_0168,G13C3,G13,C3,10,88.36932002829205
sample_0169,G8C3,G8,C3,6,89.71234632682396
sample_0170,G15C3,G15,C3,30,51.27374182152551
sample_0171,G3C3,G3,C3,14,77.41344941055128
sample_0172,G15C3,G15,C3,5,96.14408393004976
sample_0173,G15C3,G15,C3,21,74.94347693144879
sample_0174,G5C3,G5,C3,1,98.4325300495918
sample_0175,G5C3,G5,C3,2,97.70648143787658
sample_0176,G3C3,G3,C3,9,90.48178959229118
sample_0177,G7C3,G7,C3,22,68.4243272407109
sample_0178,G15C3,G15,C3,13,86.83734264911587
sample_0179,G3C3,G3,C3,42,59.011093857736306
sample_0180,G13C3,G13,C3,25,43.43100297124071
sample_0181,G6C3,G6,C3,13,74.29687294627642
sample_0182,G5C3,G5,C3,4,96.38193115830455
sample_0183,G7C3,G7,C3,26,64.89927859474804
sample_0184,G3C3,G3,C3,19,76.79520368636737
sample_0185,G8C3,G8,C3,35,50.66139736538653
sample_0186,G5C3,G5,C3,6,94.81735230207308
sample_0187,G7C3,G7,C3,36,50.94534671412229
sample_0188,G13C3,G13,C3,22,57.72136266523206
sample_0189,G5C3,G5,C3,25,60.296157589026045
sample_0190,G15C3,G15,C3,19,77.78225277794223
sample_0191,G3C3,G3,C3,23,75.06374343421892
sample_0192,G3C3,G3,C3,27,72.55688475057049
sample_0193,G8C3,G8,C3,7,83.77130620169535
sample_0194,G3C3,G3,C3,21,75.94519219449855
sample_0195,G8C3,G8,C3,2,97.8821508112554
sample_0196,G5C3,G5,C3,15,73.75099931912452
sample_0197,G7C3,G7,C3,4,95.3973682881533
sample_0198,G15C3,G15,C3,16,77.11437584074605
sample_0199,G15C3,G15,C3,17,79.51819738612076
sample_0200,G6C3,G6,C3,9,72.5380638590839
sample_0201,G6C3,G6,C3,14,73.50935342315285
sample_0202,G5C3,G5,C3,32,48.56784680905068
sample_0203,G5C3,G5,C3,16,72.77290602057917
sample_0204,G5C3,G5,C3,21,65.9828890139436
sample_0205,G8C3,G8,C3,1,98.86955679292376
sample_0206,G7C3,G7,C3,37,49.58844549499899
sample_0207,G13C3,G13,C3,8,93.27303348744788
sample_0208,G7C3,G7,C3,12,78.01448210902976
sample_0209,G5C3,G5,C3,22,64.51297655198375
sample_0210,G6C3,G6,C3,29,58.59121683788414
sample_0211,G13C3,G13,C3,23,53.30522079030994
sample_0212,G15C3,G15,C3,29,54.95974071340169
sample_0213,G7C3,G7,C3,16,73.26639549430416
sample_0214,G7C3,G7,C3,1,98.56405862393528
sample_0215,G5C3,G5,C3,11,73.93462897267098
sample_0216,G5C3,G5,C3,7,93.6982221690679
sample_0217,G3C3,G3,C3,16,77.65082657368536
sample_0218,G15C3,G15,C3,9,94.03406335702242
sample_0219,G3C3,G3,C3,46,53.90866486907686
sample_0220,G3C3,G3,C3,39,62.31679438524112
sample_0221,G7C3,G7,C3,8,77.17011608712339
sample_0222,G15C3,G15,C3,31,47.344678581242206
sample_0223,G5C3,G5,C3,30,52.584807593729735
sample_0224,G8C3,G8,C3,11,75.65516727716835
sample_0225,G13C3,G13,C3,21,61.20406479198126
sample_0226,G5C3,G5,C3,20,67.43976896543647
sample_0227,G15C3,G15,C3,10,92.6946052600852
sample_0228,G3C3,G3,C3,0,100.0
sample_0229,G6C3,G6,C3,17,70.68599021555008
sample_0230,G3C3,G3,C3,5,95.40930673199315
sample_0231,G5C3,G5,C3,31,50.356067610495835
sample_0232,G5C3,G5,C3,28,55.9773202696531
sample_0233,G3C3,G3,C3,24,74.42651090045803
sample_0234,G7C3,G7,C3,35,52.283408673425626
sample_0235,G3C3,G3,C3,48,51.17690751007642
sample_0236,G6C3,G6,C3,15,72.58159147336947
sample_0237,G3C3,G3,C3,32,69.09919444802598
sample_0238,G13C3,G13,C3,18,69.54307616262078
sample_0239,G6C3,G6,C3,4,96.55122831380962
sample_0240,G13C3,G13,C3,3,97.4943583749572
sample_0241,G7C3,G7,C3,32,57.84659973108709
sample_0242,G6C3,G6,C3,35,47.02588213245558
sample_0243,G3C3,G3,C3,26,73.21188763755211
sample_0244,G8C3,G8,C3,21,67.52729618651374
sample_0245,G8C3,G8,C3,34,52.19787992197949
sample_0246,G3C3,G3,C3,6,94.53822307679344
sample_0247,G8C3,G8,C3,8,73.22923532597198
sample_0248,G6C3,G6,C3,3,97.66474887574944
sample_0249,G3C3,G3,C3,8,92.29244844074933
sample_0250,G8C3,G8,C3,3,96.68650028084356
sample_0251,G3C3,G3,C3,41,60.19682488073691
sample_0252,G8C3,G8,C3,16,72.07286935182977
sample_0253,G7C3,G7,C3,23,67.71619702962191
sample_0254,G5C3,G5,C3,8,92.0334996503014
sample_0255,G6C3,G6,C3,27,60.95504446694533
